tpsa,sacc,h050,mlogp,rdch,gats1p,nn,c040,lc50
37.3,67.828,1,2.06,2.06,1.529,0,1,3.08
17.07,25.145,0,4.912,2.659,0.491,0,0,6.394
59.32,78.204,0,4.794,3.99,0.645,1,2,9.945
122.22,155.543,2,1.406,3.511,1.456,5,2,2.593
9.23,11.0,0,3.275,2.727,0.874,0,0,3.953
26.02,32.897,2,1.859,1.908,0.917,1,0,5.312
26.02,32.897,2,2.729,1.975,0.462,1,0,5.43
20.23,42.683,1,2.729,1.975,0.5,0,0,4.797
54.57,41.028,0,3.742,3.136,1.773,0,0,6.042
92.35,174.455,1,3.84,3.373,0.802,1,1,4.257
45.61,28.269,0,3.012,2.557,0.901,1,0,6.458
75.39,67.204,0,2.981,2.784,1.072,1,2,6.475
34.14,50.29,0,1.415,2.074,1.108,0,0,5.001
0.0,0.0,0,2.638,1.401,0.632,0,0,4.33
28.24,0.0,0,4.76,2.995,0.65,0,0,6.027
76.43,6.922,0,2.723,2.553,0.835,0,0,7.483
39.72,65.971,1,3.289,3.767,1.129,1,0,5.754
50.93,0.0,0,0.552,2.485,1.147,3,0,2.54
20.31,28.269,0,0.198,1.782,1.559,1,1,4.906
0.0,0.0,0,3.267,2.318,0.963,0,0,4.1
28.24,0.0,0,3.169,2.224,0.711,0,0,4.756
20.31,28.269,0,2.821,2.502,1.283,1,1,3.078
20.23,42.683,1,1.859,1.924,0.949,0,0,3.71
0.0,0.0,0,2.226,1.265,2.5,0,0,3.643
74.6,135.657,2,-0.45,1.823,1.075,0,2,2.764
81.7,115.445,1,5.44,4.623,1.517,1,3,4.85
95.37,54.336,0,2.433,2.915,1.394,2,0,8.564
45.82,50.747,0,2.241,2.108,0.942,1,0,4.04
12.53,11.0,0,0.408,1.689,1.038,0,0,3.587
52.6,72.29,0,0.787,2.223,1.8,0,2,2.899
13.14,9.507,0,2.859,2.614,0.827,0,0,4.995
0.0,0.0,0,1.364,1.155,0.576,0,0,2.659
0.0,0.0,0,3.562,2.281,1.15,0,0,5.548
70.14,50.908,3,-0.273,1.577,0.756,2,0,3.936
0.0,0.0,0,3.291,1.549,2.0,0,0,4.927
103.56,133.775,0,3.168,4.055,1.153,3,2,6.389
12.03,18.011,1,1.859,1.989,1.062,1,0,5.79
35.53,47.145,0,4.579,3.875,1.124,0,1,7.693
193.91,332.83,5,-0.139,4.73,1.551,1,1,3.277
12.53,11.0,0,4.452,2.716,0.49,0,0,5.513
47.36,56.055,0,3.373,3.471,0.992,3,0,4.943
75.99,73.774,1,0.057,2.093,1.123,2,1,6.964
52.04,65.794,4,3.586,2.758,0.518,2,0,5.381
155.68,277.562,4,-1.358,3.033,1.552,2,4,3.103
182.83,315.561,5,1.662,5.831,1.351,0,1,3.884
0.0,0.0,0,3.795,1.975,0.657,0,0,5.42
50.94,76.132,1,4.013,3.218,1.104,3,0,5.02
92.14,107.097,1,4.275,4.174,1.174,1,1,4.112
20.23,42.683,1,2.461,1.975,0.737,0,0,4.852
94.88,104.618,0,4.066,3.016,1.314,3,0,7.012
20.23,42.683,1,2.127,1.908,0.633,0,0,4.238
67.34,94.527,2,-0.297,1.604,1.682,0,0,3.044
52.6,72.29,0,5.426,3.893,1.402,0,2,4.55
54.74,39.247,0,3.115,2.706,0.946,0,0,6.075
26.02,32.897,2,2.127,1.908,0.597,1,0,5.19
61.52,41.93,0,3.447,2.307,0.662,1,2,4.932
